model	file	W2_statistic	p_value
GTR20+C60fix+R3-PMSF	seq_1.fa_gap.sitewise_diversity.txt	2.861669e-01	1.479794e-01
GTR20+C60fix+R3-PMSF	seq_10.fa_gap.sitewise_diversity.txt	5.087574e-01	3.784774e-02
GTR20+C60fix+R3-PMSF	seq_100.fa_gap.sitewise_diversity.txt	4.121836e-01	6.710902e-02
GTR20+C60fix+R3-PMSF	seq_11.fa_gap.sitewise_diversity.txt	5.364506e-01	3.222567e-02
GTR20+C60fix+R3-PMSF	seq_12.fa_gap.sitewise_diversity.txt	3.971824e-01	7.350557e-02
GTR20+C60fix+R3-PMSF	seq_13.fa_gap.sitewise_diversity.txt	3.116647e-01	1.253942e-01
GTR20+C60fix+R3-PMSF	seq_14.fa_gap.sitewise_diversity.txt	8.341126e-01	6.062850e-03
GTR20+C60fix+R3-PMSF	seq_15.fa_gap.sitewise_diversity.txt	4.203822e-01	6.386887e-02
GTR20+C60fix+R3-PMSF	seq_16.fa_gap.sitewise_diversity.txt	6.337989e-01	1.847451e-02
GTR20+C60fix+R3-PMSF	seq_17.fa_gap.sitewise_diversity.txt	5.108583e-01	3.738709e-02
GTR20+C60fix+R3-PMSF	seq_18.fa_gap.sitewise_diversity.txt	1.787292e-01	3.129089e-01
GTR20+C60fix+R3-PMSF	seq_19.fa_gap.sitewise_diversity.txt	4.606505e-01	5.021319e-02
GTR20+C60fix+R3-PMSF	seq_2.fa_gap.sitewise_diversity.txt	2.742675e-01	1.600741e-01
GTR20+C60fix+R3-PMSF	seq_20.fa_gap.sitewise_diversity.txt	4.282775e-01	6.090705e-02
GTR20+C60fix+R3-PMSF	seq_21.fa_gap.sitewise_diversity.txt	4.398520e-01	5.682796e-02
GTR20+C60fix+R3-PMSF	seq_22.fa_gap.sitewise_diversity.txt	4.827861e-01	4.406311e-02
GTR20+C60fix+R3-PMSF	seq_23.fa_gap.sitewise_diversity.txt	3.495905e-01	9.859676e-02
GTR20+C60fix+R3-PMSF	seq_24.fa_gap.sitewise_diversity.txt	2.768591e-01	1.573467e-01
GTR20+C60fix+R3-PMSF	seq_25.fa_gap.sitewise_diversity.txt	4.630225e-01	4.951260e-02
GTR20+C60fix+R3-PMSF	seq_26.fa_gap.sitewise_diversity.txt	5.648979e-01	2.735357e-02
GTR20+C60fix+R3-PMSF	seq_27.fa_gap.sitewise_diversity.txt	1.681875e-01	3.387805e-01
GTR20+C60fix+R3-PMSF	seq_28.fa_gap.sitewise_diversity.txt	1.407483e-01	4.192667e-01
GTR20+C60fix+R3-PMSF	seq_29.fa_gap.sitewise_diversity.txt	1.802413e-01	3.093962e-01
GTR20+C60fix+R3-PMSF	seq_3.fa_gap.sitewise_diversity.txt	4.306566e-01	6.004367e-02
GTR20+C60fix+R3-PMSF	seq_30.fa_gap.sitewise_diversity.txt	3.866653e-01	7.838215e-02
GTR20+C60fix+R3-PMSF	seq_31.fa_gap.sitewise_diversity.txt	2.557218e-01	1.812550e-01
GTR20+C60fix+R3-PMSF	seq_32.fa_gap.sitewise_diversity.txt	5.962227e-01	2.286668e-02
GTR20+C60fix+R3-PMSF	seq_33.fa_gap.sitewise_diversity.txt	9.721992e-02	5.990595e-01
GTR20+C60fix+R3-PMSF	seq_34.fa_gap.sitewise_diversity.txt	3.924517e-01	7.565714e-02
GTR20+C60fix+R3-PMSF	seq_35.fa_gap.sitewise_diversity.txt	9.083311e-02	6.321125e-01
GTR20+C60fix+R3-PMSF	seq_36.fa_gap.sitewise_diversity.txt	4.605130e-01	5.025414e-02
GTR20+C60fix+R3-PMSF	seq_37.fa_gap.sitewise_diversity.txt	1.858236e-01	2.968332e-01
GTR20+C60fix+R3-PMSF	seq_38.fa_gap.sitewise_diversity.txt	4.124837e-01	6.698734e-02
GTR20+C60fix+R3-PMSF	seq_39.fa_gap.sitewise_diversity.txt	7.400130e-01	1.019057e-02
GTR20+C60fix+R3-PMSF	seq_4.fa_gap.sitewise_diversity.txt	1.136506e-01	5.223265e-01
GTR20+C60fix+R3-PMSF	seq_40.fa_gap.sitewise_diversity.txt	2.185122e-01	2.343919e-01
GTR20+C60fix+R3-PMSF	seq_41.fa_gap.sitewise_diversity.txt	1.723004e-01	3.283902e-01
GTR20+C60fix+R3-PMSF	seq_42.fa_gap.sitewise_diversity.txt	6.140320e-01	2.066378e-02
GTR20+C60fix+R3-PMSF	seq_43.fa_gap.sitewise_diversity.txt	2.197248e-01	2.323938e-01
GTR20+C60fix+R3-PMSF	seq_44.fa_gap.sitewise_diversity.txt	6.530686e-01	1.657072e-02
GTR20+C60fix+R3-PMSF	seq_45.fa_gap.sitewise_diversity.txt	3.456687e-01	1.010495e-01
GTR20+C60fix+R3-PMSF	seq_46.fa_gap.sitewise_diversity.txt	2.749245e-01	1.593776e-01
GTR20+C60fix+R3-PMSF	seq_47.fa_gap.sitewise_diversity.txt	2.225408e-01	2.278306e-01
GTR20+C60fix+R3-PMSF	seq_48.fa_gap.sitewise_diversity.txt	1.766128e-01	3.179064e-01
GTR20+C60fix+R3-PMSF	seq_49.fa_gap.sitewise_diversity.txt	2.763656e-01	1.578620e-01
GTR20+C60fix+R3-PMSF	seq_5.fa_gap.sitewise_diversity.txt	1.799718e-01	3.100187e-01
GTR20+C60fix+R3-PMSF	seq_50.fa_gap.sitewise_diversity.txt	1.624127e-01	3.540478e-01
GTR20+C60fix+R3-PMSF	seq_51.fa_gap.sitewise_diversity.txt	4.383141e-01	5.735270e-02
GTR20+C60fix+R3-PMSF	seq_52.fa_gap.sitewise_diversity.txt	3.938429e-01	7.501740e-02
