model	file	W2_statistic	p_value
GTR20+C60fix+R3-PMSF	seq_1.fa_gap.sitewise_entropy.txt	2.860694e-01	1.480742e-01
GTR20+C60fix+R3-PMSF	seq_10.fa_gap.sitewise_entropy.txt	4.422933e-01	5.600549e-02
GTR20+C60fix+R3-PMSF	seq_100.fa_gap.sitewise_entropy.txt	3.822344e-01	8.054082e-02
GTR20+C60fix+R3-PMSF	seq_11.fa_gap.sitewise_entropy.txt	5.521303e-01	2.943737e-02
GTR20+C60fix+R3-PMSF	seq_12.fa_gap.sitewise_entropy.txt	3.171407e-01	1.210665e-01
GTR20+C60fix+R3-PMSF	seq_13.fa_gap.sitewise_entropy.txt	1.910458e-01	2.856315e-01
GTR20+C60fix+R3-PMSF	seq_14.fa_gap.sitewise_entropy.txt	8.476360e-01	5.629649e-03
GTR20+C60fix+R3-PMSF	seq_15.fa_gap.sitewise_entropy.txt	3.679010e-01	8.797958e-02
GTR20+C60fix+R3-PMSF	seq_16.fa_gap.sitewise_entropy.txt	6.813248e-01	1.413794e-02
GTR20+C60fix+R3-PMSF	seq_17.fa_gap.sitewise_entropy.txt	4.379960e-01	5.746186e-02
GTR20+C60fix+R3-PMSF	seq_18.fa_gap.sitewise_entropy.txt	5.926838e-02	8.191148e-01
GTR20+C60fix+R3-PMSF	seq_19.fa_gap.sitewise_entropy.txt	4.656749e-01	4.874147e-02
GTR20+C60fix+R3-PMSF	seq_2.fa_gap.sitewise_entropy.txt	2.291150e-01	2.175822e-01
GTR20+C60fix+R3-PMSF	seq_20.fa_gap.sitewise_entropy.txt	4.297683e-01	6.036451e-02
GTR20+C60fix+R3-PMSF	seq_21.fa_gap.sitewise_entropy.txt	4.043316e-01	7.037865e-02
GTR20+C60fix+R3-PMSF	seq_22.fa_gap.sitewise_entropy.txt	4.917347e-01	4.180799e-02
GTR20+C60fix+R3-PMSF	seq_23.fa_gap.sitewise_entropy.txt	3.643639e-01	8.992854e-02
GTR20+C60fix+R3-PMSF	seq_24.fa_gap.sitewise_entropy.txt	1.354978e-01	4.371968e-01
GTR20+C60fix+R3-PMSF	seq_25.fa_gap.sitewise_entropy.txt	5.250659e-01	3.442269e-02
